Symbol(CUSIP),Security description,Date acquired,Date sold,Quantity,Cost basis,Proceeds,Short-term gain/loss,Long-term gain/loss
DOC(42250P103),HEALTHPEAK PROPERTIES INC COM,2025-05-16,2025-06-16,198.805,"$3,459.11","$3,455.23", --, -$3.88,
DOC(42250P103),HEALTHPEAK PROPERTIES INC COM,2025-05-13,2025-06-16,62,"$1,081.59","$1,077.56", --, -$4.03,
DOC(42250P103),HEALTHPEAK PROPERTIES INC COM,2025-05-13,2025-06-16,0.195,$3.40,$3.39, --, -$0.01,
DOC250516P17.5(7782229BX),PUT (DOC) HEALTHPEAK MAY 16 25 $17.5 (100 SHS),2025-05-16,2025-05-13,2,$30.06,$48.64, --,$18.58,
DOC250620C17.5(7844569HH),CALL (DOC) HEALTHPEAK JUN 20 25 $17.5 (100 SHS),2025-06-13,2025-05-16,2,$28.06,$86.64, --,$58.58,
DOW250627P27(7882509VT),PUT (DOW) DOW INC COM JUN 27 25 $27 (100 SHS),2025-06-24,2025-06-23,10,$260.29,$323.21, --,$62.92,
DRIV(37954Y624),GLOBAL X FDS AUTONMOUS EV ETF,2024-01-09,2024-02-15,4,$94.56,$95.08, --,$0.52,
DRIV(37954Y624),GLOBAL X FDS AUTONMOUS EV ETF,2024-01-08,2024-02-15,1,$23.59,$23.77, --,$0.18,
DRIV(37954Y624),GLOBAL X FDS AUTONMOUS EV ETF,2023-12-13,2024-02-15,2,$46.60,$47.54, --,$0.94,
DRIV(37954Y624),GLOBAL X FDS AUTONMOUS EV ETF,2023-12-12,2024-02-15,499,"$11,666.62","$11,861.13", --,$194.51,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2025-04-14,2025-05-20,0.905,$0.00,$10.00, --,$10.00,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2025-04-14,2025-05-20,0.709,$0.00,$7.83, --,$7.83,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2025-02-03,2025-05-20,165,"$1,880.98","$1,823.78", --, -$57.20,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2025-02-03,2025-05-20,0.578,$6.55,$6.39, --, -$0.16,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2024-12-31,2025-05-20,0.713,$0.00,$7.88, --,$7.88,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2024-11-04,2025-05-20,100,"$1,163.95","$1,105.32", --, -$58.63,
ESOA(29271Q103),ENERGY SVCS ACQUISITION CORP COM,2024-10-23,2025-05-20,200,"$2,012.00","$2,210.64", --,$198.64,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-15,"1,599.73","$18,052.95","$17,938.18", --, -$114.77,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-15,1,$11.28,$11.21, --, -$0.07,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-15,171,"$1,929.67","$1,917.47", --, -$12.20,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-15,28,$316.78,$313.97, --, -$2.81,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-15,0.27,$3.05,$3.03, --, -$0.02,
F(345370860),FORD MTR CO DEL COM,2025-08-08,2025-08-18,0.27,$3.05,$3.09, --,$0.04,
F(345370860),FORD MTR CO DEL COM,2025-02-28,2025-05-12,6.553,$0.00,$69.36, --,$69.36,
F(345370860),FORD MTR CO DEL COM,2025-02-28,2025-05-12,6.553,$0.00,$69.36, --,$69.36,
F(345370860),FORD MTR CO DEL COM,2025-02-10,2025-05-12,1,$9.23,$10.59, --,$1.36,
F(345370860),FORD MTR CO DEL COM,2025-02-04,2025-05-12,0.215,$2.15,$2.28, --,$0.13,
F(345370860),FORD MTR CO DEL COM,2025-02-04,2025-05-12,110,"$1,097.80","$1,164.36", --,$66.56,
F(345370860),FORD MTR CO DEL COM,2024-12-02,2025-05-12,0.239,$2.65,$2.53, --, -$0.12,
F(345370860),FORD MTR CO DEL COM,2024-12-02,2025-05-12,4,$44.28,$42.34, --, -$1.94,
F(345370860),FORD MTR CO DEL COM,2024-11-04,2025-05-12,100,"$1,048.50","$1,058.51", --,$10.01,
F(345370860),FORD MTR CO DEL COM,2024-10-23,2025-05-12,199.44,"$2,204.81","$2,111.09", --, -$93.72,
F(345370860),FORD MTR CO DEL COM,2024-10-23,2025-05-12,0.56,$6.19,$5.93, --, -$0.26,
F250404C10.35(7720079WQ),CALL (F) FORD MTR CO DEL COM APR 04 25 $10.35 (100 SHS),2025-04-04,2025-03-07,4,$0.00,$41.69, --,$41.69,
F250509C10.5(7800289DX),CALL (F) FORD MTR CO DEL COM MAY 09 25 $10.5 (100 SHS),2025-05-09,2025-04-09,4,$0.00,$73.28, --,$73.28,
F250606P10(7862519KK),PUT (F) FORD MTR CO DEL COM JUN 06 25 $10 (100 SHS),2025-06-06,2025-06-03,4,$0.00,$22.68, --,$22.68,
F250815P11(7926549FF),PUT (F) FORD MTR CO DEL COM AUG 15 25 $11 (100 SHS),2025-08-08,2025-07-10,6,$66.15,$133.94, --,$67.79,
F250815P11(7926549FF),PUT (F) FORD MTR CO DEL COM AUG 15 25 $11 (100 SHS),2025-08-08,2025-07-10,19,$209.46,$405.15, --,$195.69,
F250912C11.5(8051579VV),CALL (F) FORD MTR CO DEL COM SEP 12 25 $11.5 (100 SHS),2025-08-11,2025-08-08,1,$31.02,$22.33, --, -$8.69,
F250912C11.5(8051579VV),CALL (F) FORD MTR CO DEL COM SEP 12 25 $11.5 (100 SHS),2025-08-11,2025-08-08,11,$341.27,$245.58, --, -$95.69,
F250912C11.5(8051579VV),CALL (F) FORD MTR CO DEL COM SEP 12 25 $11.5 (100 SHS),2025-08-11,2025-08-08,1,$31.02,$22.33, --, -$8.69,
F250912C11.5(8051579VV),CALL (F) FORD MTR CO DEL COM SEP 12 25 $11.5 (100 SHS),2025-08-11,2025-08-08,5,$155.13,$111.63, --, -$43.50,
HPE251003P22(8096619XZ),PUT (HPE) HEWLETT PACKARD OCT 03 25 $22 (100 SHS),2025-09-04,2025-09-03,14,$490.33,"$1,180.57", --,$690.24,
HPE251010P24(8107249CU),PUT (HPE) HEWLETT PACKARD OCT 10 25 $24 (100 SHS),2025-09-18,2025-09-11,12,$396.28,$579.92, --,$183.64,
HPE251010P24(8107249CU),PUT (HPE) HEWLETT PACKARD OCT 10 25 $24 (100 SHS),2025-09-18,2025-09-11,1,$33.02,$46.33, --,$13.31,
INTC(458140100),INTEL CORP COM USD0.001,2026-02-25,2026-03-16,0.995,$46.72,$48.25, --,$1.53,
INTC(458140100),INTEL CORP COM USD0.001,2026-02-25,2026-03-16,"1,017","$47,753.24","$49,319.42", --,$1566.18,
INTC(458140100),INTEL CORP COM USD0.001,2026-02-03,2026-02-06,920,"$46,368.00","$46,791.20", --,$423.20,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-26,2026-01-28,0.825,$35.78,$39.69, --,$3.91,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-26,2026-01-28,66.175,"$2,869.68","$3,183.35", --,$313.67,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-26,2026-01-28,0.825,$35.78,$39.69, --,$3.91,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-16,2026-01-28,900,"$42,412.14","$43,294.50", --,$882.36,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-16,2026-01-21,41,"$1,932.11","$2,200.68", --,$268.57,
INTC(458140100),INTEL CORP COM USD0.001,2026-01-16,2026-01-21,0.332,$15.65,$17.82, --,$2.17,
INTC(458140100),INTEL CORP COM USD0.001,2025-12-10,2026-01-07,0.817,$32.33,$35.45, --,$3.12,
INTC(458140100),INTEL CORP COM USD0.001,2025-12-10,2026-01-07,10.183,$402.99,$441.79, --,$38.80,
INTC(458140100),INTEL CORP COM USD0.001,2025-12-10,2026-01-07,0.588,$23.27,$25.51, --,$2.24,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-29,2026-01-07,557,"$22,984.61","$24,165.67", --,$1181.06,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-29,2026-01-07,450,"$18,795.42","$19,523.43", --,$728.01,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-29,2026-01-07,0.229,$9.45,$9.94, --,$0.49,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-17,0.296,$11.09,$11.24, --,$0.15,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-17,0.442,$16.56,$16.79, --,$0.23,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-17,6.558,$245.68,$249.12, --,$3.44,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-17,0.442,$16.37,$16.79, --,$0.42,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-17,"1,045","$38,706.80","$39,695.89", --,$989.09,
INTC(458140100),INTEL CORP COM USD0.001,2025-10-09,2025-10-09,10,$370.40,$374.97, --,$4.57,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,349.193,"$12,078.59","$13,313.51", --,$1234.92,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,0.49,$16.64,$18.68, --,$2.04,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,0.317,$10.99,$12.09, --,$1.10,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,377,"$13,076.13","$14,373.69", --,$1297.56,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,294,"$9,983.36","$11,209.19", --,$1225.83,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-29,2025-10-06,0.807,$27.91,$30.77, --,$2.86,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-25,2025-09-26,0.773,$24.49,$27.74, --,$3.25,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-25,2025-09-26,314.227,"$9,955.81","$11,274.50", --,$1318.69,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-25,2025-09-26,0.621,$19.68,$22.28, --,$2.60,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-19,2025-09-26,0.152,$4.55,$5.45, --,$0.90,
INTC(458140100),INTEL CORP COM USD0.001,2025-09-19,2025-09-26,334,"$9,995.45","$11,983.95", --,$1988.50,
INTC250620P20(7117789PJ),PUT (INTC) INTEL CORP COM JUN 20 25 $20 (100 SHS),2025-06-20,2025-06-16,13,$0.00,$147.82, --,$147.82,
INTC250725P20(7935449BZ),PUT (INTC) INTEL CORP COM JUL 25 25 $20 (100 SHS),2025-06-30,2025-06-24,5,$165.15,$236.60, --,$71.45,
INTC250725P20(7935449BZ),PUT (INTC) INTEL CORP COM JUL 25 25 $20 (100 SHS),2025-06-30,2025-06-24,9,$297.26,$425.88, --,$128.62,
INTC250725P21.5(7935449WW),PUT (INTC) INTEL CORP COM JUL 25 25 $21.5 (100 SHS),2025-07-09,2025-07-01,1,$44.03,$53.32, --,$9.29,
INTC250822P21(7988369MM),PUT (INTC) INTEL CORP COM AUG 22 25 $21 (100 SHS),2025-08-13,2025-08-13,4,$88.10,$141.30, --,$53.20,
INTC250822P23.5(7988359OI),PUT (INTC) INTEL CORP COM AUG 22 25 $23.5 (100 SHS),2025-08-19,2025-08-15,4,$32.10,$113.30, --,$81.20,
INTC250822P23.5(7988359OI),PUT (INTC) INTEL CORP COM AUG 22 25 $23.5 (100 SHS),2025-08-19,2025-08-18,8,$64.19,$418.61, --,$354.42,
INTC250829P21(7998399RL),PUT (INTC) INTEL CORP COM AUG 29 25 $21 (100 SHS),2025-08-12,2025-08-12,4,$216.10,$257.30, --,$41.20,
INTC250829P24(7998399WQ),PUT (INTC) INTEL CORP COM AUG 29 25 $24 (100 SHS),2025-08-25,2025-08-19,10,$270.24,$483.26, --,$213.02,
INTC250829P24(7998399WQ),PUT (INTC) INTEL CORP COM AUG 29 25 $24 (100 SHS),2025-08-25,2025-08-19,2,$54.05,$96.65, --,$42.60,
INTC250912P20(8052059QM),PUT (INTC) INTEL CORP COM SEP 12 25 $20 (100 SHS),2025-08-12,2025-08-11,4,$188.10,$265.30, --,$77.20,
INTC251010C38.5(8176579LL),CALL (INTC) INTEL CORP COM OCT 10 25 $38.5 (100 SHS),2025-10-09,2025-10-09,10,$340.19,$273.31, --, -$66.88,
INTC251017P35.5(8158499GG),PUT (INTC) INTEL CORP COM OCT 17 25 $35.5 (100 SHS),2025-10-09,2025-10-06,11,$876.36,$938.64, --,$62.28,
INTC251024P28(8115119GA),PUT (INTC) INTEL CORP COM OCT 24 25 $28 (100 SHS),2025-09-25,2025-09-19,7,$522.71,$786.29, --,$263.58,
INTC251024P37(8156019QQ),PUT (INTC) INTEL CORP COM OCT 24 25 $37 (100 SHS),2025-10-24,2025-10-21,10,$10.19,"$1,543.31", --,$1533.12,
INTC251121C45(8155339NN),CALL (INTC) INTEL CORP COM NOV 21 25 $45 (100 SHS),2025-11-06,2025-11-05,10,$390.19,$443.31, --,$53.12,
INTC251121P35(7805249KI),PUT (INTC) INTEL CORP COM NOV 21 25 $35 (100 SHS),2025-10-28,2025-10-24,12,$720.22,$951.98, --,$231.76,
INTC251212C42.5(8330849LF),CALL (INTC) INTEL CORP COM DEC 12 25 $42.5 (100 SHS),2025-12-10,2025-12-09,10,$140.14,$303.36, --,$163.22,
INTC251219C41(8156009RN),CALL (INTC) INTEL CORP COM DEC 19 25 $41 (100 SHS),2025-11-25,2025-11-24,10,$470.19,$513.31, --,$43.12,
